# G,P S,G S,# P,gt,ht,phi,l_out,size,# Ep,B E,B E Ac,gt,ht,phi,l_out,phi_max,phi_min,Ac,Er
5,4x4,4,3,0,0,2,0,96,200,194,98.50%,0,0,2,0,2.8215,-0.4242,98.32%,1.68%
5,4x4,4,3,0,0,2,0,96,200,194,98.50%,0,1,2,0,2.8215,-0.4242,96.63%,3.37%
5,4x4,4,3,0,0,2,0,96,200,194,98.50%,0,2,2,0,2.8215,-0.4242,96.95%,3.05%
,,,,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,2,0,128,190,139,98.28%,0,0,2,0,2.8215,-0.4242,98.18%,1.82%
5,4x4,4,3,0,0,2,0,128,190,139,98.28%,0,1,2,0,2.8215,-0.4242,96.53%,3.47%
5,4x4,4,3,0,0,2,0,128,190,139,98.28%,0,2,2,0,2.8215,-0.4242,97.88%,2.12%
,,,,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,1,0,64,200,158,95.90%,0,0,1,0,2.8215,-0.4242,95.06%,4.94%
5,4x4,4,3,0,0,1,0,64,200,158,95.90%,0,1,1,0,2.8215,-0.4242,82.06%,17.94%
5,4x4,4,3,0,0,1,0,64,200,158,95.90%,0,2,1,0,2.8215,-0.4242,83.17%,16.83%
,,,,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,4,0,64,200,166,98.78%,0,0,4,0,2.8215,-0.4242,98.57%,1.43%
5,4x4,4,3,0,0,4,0,64,200,166,98.78%,0,1,4,0,2.8215,-0.4242,94.47%,5.53%
5,4x4,4,3,0,0,4,0,64,200,166,98.78%,0,2,4,0,2.8215,-0.4242,96.00%,4.00%
,,,,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,6,0,64,139,88,98.45%,0,0,6,0,2.8215,-0.4242,98.27%,1.73%
5,4x4,4,3,0,0,6,0,64,139,88,98.45%,0,1,6,0,2.8215,-0.4242,93.85%,6.15%
5,4x4,4,3,0,0,6,0,64,139,88,98.45%,0,2,6,0,2.8215,-0.4242,96.91%,3.09%
,,,,,,,,,,,,,,,,,,,
5,4x4,4,3,0,0,8,0,64,195,144,98.92%,0,0,8,0,2.8215,-0.4242,98.56%,1.44%
5,4x4,4,3,0,0,8,0,64,195,144,98.92%,0,1,8,0,2.8215,-0.4242,94.35%,5.65%
5,4x4,4,3,0,0,8,0,64,195,144,98.92%,0,2,8,0,2.8215,-0.4242,97.33%,2.67%
